quality	left_url	right_url
left	https://strana.ua/news/269229-nakopitelnuju-pensionnuju-sistemu-mohut-vnedrit-do-2021-hoda.html	https://atn.ua/obshchestvo/zapustit-nakopitelnuyu-pensionnuyu-sistemu-v-ukraine-planiruyut-do-nachala-2021-goda
left	https://racurs.ua/n138704-v-sovete-evropy-preduprejdaut-ob-ugroze-biologicheskih-atak-terroristov-posle-zaversheniya.html	https://www.zakon.kz/5024041-v-se-preduprezhdayut-ob-ugroze.html
right	https://news.tut.by/economics/685895.html	https://ru.reuters.com/article/topNews/idRUKBN231154-ORUTP
left	https://www.iphones.ru/iNotes/avstraliyskie-uchenye-dostigli-skorosti-interneta-v-442-tbits-eto-absolyutnyy-rekord-05-25-2020	https://www.kommersant.ru/doc/4356144
left	http://primorye24.ru/news/post/130314-zhitel-elitnoy-novostroyki-vo-vladivostoke-pobil-vosem-mashin-na-parkovke	https://primpress.ru/article/54849
bad	https://severpost.ru/read/96050/	https://www.mvestnik.ru/newslent/v-murmanskoj-oblasti-snyat-masochnyj-rezhim-na-ulicah/
bad	https://www.kommersant.ru/doc/4356424	https://iz.ru/1015445/2020-05-25/vnutrennie-aviaperevozki-v-rossii-v-aprele-sokratilis-na-87
right	https://lb.ua/economics/2020/05/25/458336_kievskom_metropolitene_podschitali.html	https://nikvesti.com/news/business/189101
left	https://tass.ru/politika/8561119	https://news.rambler.ru/world/44239643-kak-soedinennye-shtaty-prevratili-ukrainu-v-koloniyu/
right	https://vostokmedia.com/news/society/25-05-2020/pomogite-rossiyane-prosyat-primorskie-vlasti-vernut-ih-domoy-iz-kitaya	https://www.vesti.ru/doc.html?id=3267941
left	https://news.ru/society/voditelej-bez-prav-hotyat-nakazyvat-za-narusheniya-15-godami-tyurmy/	https://www.zr.ru/content/news/923306-voditelej-bez-prav-khotyat-nakaz/
left	https://govoritufa.ru/news/46043-v-bashkirii-za-sutki-covid-19-vyyavili-u-89-chelovek	http://ufacitynews.ru/news/2020/05/25/opublikovana-statistika-po-novym-sluchayam-zabolevaniya-koronavirusom-v-bashkirii/
left	https://3dnews.ru/1011746	https://anonsens.ru/37766_stali_izvestny_podrobnosti_reliza_flagmana_sony_xperia_1_ii_na_globalnom_rynke_nuramura1979
right	https://real-vin.com/pojavilis-novye-dannye-o-smerti-glavarja-boevikov-lnr	https://www.dsnews.ua/society/byvshiy-zamestitel-komandira-boevikov-lnr-nayden-mertvym--25052020155100
right	https://sova.info/news/zhitel-samarskoy-oblasti-postradal-v-perestrelke-na-yuge-moskvy/	https://theins.ru/news/221445
left	https://riafan.ru/1279634-chernogoriya-vremenno-otkazalas-prinimat-rossiiskikh-turistov	https://news.tut.by/world/685968.html
right	https://oligarh.media/2020/05/25/sud-razreshil-smenit-rukovodstvo-tsentrenergo/	https://lb.ua/economics/2020/05/25/458329_sud_razblokiroval_naznachenie_novogo.html
right	http://www.vremyan.ru/news/pravila_registraczii_sajtov_v_rossii_mogut_izmenit.html	https://tverigrad.ru/publication/v-rossii-sobirajutsja-uzhestochit-trebovanija-pri-registracii-sajtov
right	https://news.rambler.ru/incidents/44234756-passazhiry-reysa-sochi-moskva-ustroili-draku-i-popali-na-video/	https://rns.online/transport/Passazhiri-reisa-Sochi-Moskva-ustroili-draku-2020-05-25/
left	https://moika78.ru/news/2020-05-26/420575-prilozheniya-vmesto-pasportov-eksperiment-mozhet-nachatsya-1-iyulya-v-moskve/	http://www.trud.ru/article/25-05-2020/1390219_ja_dostaju_iz_shirokix_shtanin_net_ne_pasport_smartfon.html
left	https://www.interfax.ru/world/710101	https://www.facenews.ua/news/2020/481105/
left	http://allsport-news.net/366528_halk_pozdravil_zenit_95_let_bolshoy_istorii__uveren_tyi_esche_zavoyuesh_otlichnyie_trofei.html	https://www.euro-football.ru/article/29/1004367390_spalletti_kogda_dumayu_o_zenite_to_vsegda_ulyibayus
left	https://www.m24.ru/news/gorod/25052020/118993	https://riamo.ru/article/431957/servis-dlya-poiska-biznes-partnerov-zapustili-v-moskve.xl?mTitle=&mDesc=&mImg=&mImgWidth=&mImgHeight=
right	https://bombardir.ru/news/604541-PSZh-Inter-i-zhena-Ikardi-nahodyatsya-v-prodvinutoy-stadii-peregovorov-o-vykupe-igroka-francuzami-milancy-gotovy-na-skidku%20	https://www.sports.ru/football/1085732693.html
left	https://politros.com/167269-politolog-mezyuho-schitaet-shtrafy-za-feiki-o-pandemii-pravilnoi-i-obosnovannoi-meroi	https://inforeactor.ru/304402-mezyuho-prizval-operativno-oprovergat-feiki-i-nakazyvat-ih-rasprostranitelei
left	https://news.sportbox.ru/Vidy_sporta/Figurnoe_katanie/spbnews_NI1193196_Ucheniki_Tutberidze_zajehali_na_bazu_v_Novogorske	https://lenta.ru/news/2020/05/25/mesto/
bad	https://privet-rostov.ru/gorod/54125-posle-holodov-v-rostov-rezko-pridet-zhara.html	https://news.tut.by/society/685819.html
left	https://vestikavkaza.ru/news/na-plazah-soci-budut-kamery-hranenia-i-metallodetektory.html	https://tass.ru/obschestvo/8556287
left	https://nv.ua/style/znamenitosti/lesya-nikityuk-zaintrigovala-snimkom-v-prozrachnom-bodi-foto-50090158.html	https://korrespondent.net/lifestyle/4232508-nykytuik-snialas-v-dyriavom-body
draw	https://onf.ru/2020/05/25/megafon-napravil-20-tysyach-smartfonov-detyam-iz-maloimushchih-semey-v-ramkah-akcii/	https://gazeta19.ru/index.php/v-rossii-i-mire/item/44009-megafon-napravil-20-tysyach-smartfonov-detyam-iz-maloimushchikh-semej-v-ramkakh-aktsii-vzaimopomoshchi-myvmeste
right	https://rueconomics.ru/443786-titov-soobshchil-putinu-o-zhelanii-rossiiskih-biznesmenov-vernutsya-na-rodinu	https://riafan.ru/1279396-titov-dolozhil-putinu-o-123-biznesmenakh-zhelayushikh-vernutsya-v-rf
left	https://telegraf.com.ua/sport-cat/futbol/5482070-chempionat-ukrainyi-vozobnovitsya-30-maya.html	https://sport.ua/news/488982-upl-vozobnovitsya-30-maya
left	https://vestikavkaza.ru/news/v-merii-moskvy-rasskazali-cto-razresat-na-novom-etape-snatia-ogranicenij.html	https://lenta.ru/news/2020/05/25/etap/?utm_referrer=https%3A%2F%2Fzen.yandex.com%2F%3Ffrom%3Dspecial&utm_campaign=dbr&utm_source=YandexZenSpecial
left	https://piter.tv/event/Viplatu_na_priobretenie_masok_i_perchatok_poluchili_bolee_1_8_mln_peterburzhcev/	https://www.dp.ru/a/2020/05/25/Pochti_1_5_mlrd_rublej_raz
